code;name;parent_code
"A";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA";
"01";"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS";"A"
"01.1";"Produção de lavouras temporárias";"01"
"01.11-3";"Cultivo de cereais";"01.1"
"0111-3/01";"Cultivo de arroz";"01.11-3"
"0111-3/02";"Cultivo de milho";"01.11-3"
"0111-3/03";"Cultivo de trigo";"01.11-3"
"0111-3/99";"Cultivo de outros cereais não especificados anteriormente";"01.11-3"
"01.12-1";"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária";"01.1"
"0112-1/01";"Cultivo de algodão herbáceo";"01.12-1"
"0112-1/02";"Cultivo de juta";"01.12-1"
"0112-1/99";"Cultivo de outras fibras de lavoura temporária não especificadas anteriormente";"01.12-1"
"01.13-0";"Cultivo de cana-de-açúcar";"01.1"
"0113-0/00";"Cultivo de cana-de-açúcar";"01.13-0"
"01.14-8";"Cultivo de fumo";"01.1"
"0114-8/00";"Cultivo de fumo";"01.14-8"
"01.15-6";"Cultivo de soja";"01.1"
"0115-6/00";"Cultivo de soja";"01.15-6"
"01.16-4";"Cultivo de oleaginosas de lavoura temporária, exceto soja";"01.1"
"0116-4/01";"Cultivo de amendoim";"01.16-4"
"0116-4/02";"Cultivo de girassol";"01.16-4"
"0116-4/03";"Cultivo de mamona";"01.16-4"
"0116-4/99";"Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente";"01.16-4"
"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"01.1"
"0119-9/01";"Cultivo de abacaxi";"01.19-9"
"0119-9/02";"Cultivo de alho";"01.19-9"
"0119-9/03";"Cultivo de batata-inglesa";"01.19-9"
"0119-9/04";"Cultivo de cebola";"01.19-9"
"0119-9/05";"Cultivo de feijão";"01.19-9"
"0119-9/06";"Cultivo de mandioca";"01.19-9"
"0119-9/07";"Cultivo de melão";"01.19-9"
"0119-9/08";"Cultivo de melancia";"01.19-9"
"0119-9/09";"Cultivo de tomate rasteiro";"01.19-9"
"0119-9/99";"Cultivo de outras plantas de lavoura temporária não especificadas anteriormente";"01.19-9"
"01.2";"Horticultura e floricultura";"01"
"01.21-1";"Horticultura";"01.2"
"0121-1/01";"Horticultura, exceto morango";"01.21-1"
"0121-1/02";"Cultivo de morango";"01.21-1"
"01.22-9";"Cultivo de flores e plantas ornamentais";"01.2"
"0122-9/00";"Cultivo de flores e plantas ornamentais";"01.22-9"
"01.3";"Produção de lavouras permanentes";"01"
"01.31-8";"Cultivo de laranja";"01.3"
"0131-8/00";"Cultivo de laranja";"01.31-8"
"01.32-6";"Cultivo de uva";"01.3"
"0132-6/00";"Cultivo de uva";"01.32-6"
"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"01.3"
"0133-4/01";"Cultivo de açaí";"01.33-4"
"0133-4/02";"Cultivo de banana";"01.33-4"
"0133-4/03";"Cultivo de caju";"01.33-4"
"0133-4/04";"Cultivo de cítricos, exceto laranja";"01.33-4"
"0133-4/05";"Cultivo de coco-da-baía";"01.33-4"
"0133-4/06";"Cultivo de guaraná";"01.33-4"
"0133-4/07";"Cultivo de maçã";"01.33-4"
"0133-4/08";"Cultivo de mamão";"01.33-4"
"0133-4/09";"Cultivo de maracujá";"01.33-4"
"0133-4/10";"Cultivo de manga";"01.33-4"
"0133-4/11";"Cultivo de pêssego";"01.33-4"
"0133-4/99";"Cultivo de frutas de lavoura permanente não especificadas anteriormente";"01.33-4"
"01.34-2";"Cultivo de café";"01.3"
"0134-2/00";"Cultivo de café";"01.34-2"
"01.35-1";"Cultivo de cacau";"01.3"
"0135-1/00";"Cultivo de cacau";"01.35-1"
"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"01.3"
"0139-3/01";"Cultivo de chá-da-índia";"01.39-3"
"0139-3/02";"Cultivo de erva-mate";"01.39-3"
"0139-3/03";"Cultivo de pimenta-do-reino";"01.39-3"
"0139-3/04";"Cultivo de plantas para condimento, exceto pimenta-do-reino";"01.39-3"
"0139-3/05";"Cultivo de dendê";"01.39-3"
"0139-3/06";"Cultivo de seringueira";"01.39-3"
"0139-3/99";"Cultivo de outras plantas de lavoura permanente não especificadas anteriormente";"01.39-3"
"01.4";"Produção de sementes e mudas certificadas";"01"
"01.41-5";"Produção de sementes certificadas";"01.4"
"0141-5/01";"Produção de sementes certificadas, exceto de forrageiras para pasto";"01.41-5"
"0141-5/02";"Produção de sementes certificadas de forrageiras para formação de pasto";"01.41-5"
"01.42-3";"Produção de mudas e outras formas de propagação vegetal, certificadas";"01.4"
"0142-3/00";"Produção de mudas e outras formas de propagação vegetal, certificadas";"01.42-3"
"01.5";"Pecuária";"01"
"01.51-2";"Criação de bovinos";"01.5"
"0151-2/01";"Criação de bovinos para corte";"01.51-2"
"0151-2/02";"Criação de bovinos para leite";"01.51-2"
"0151-2/03";"Criação de bovinos, exceto para corte e leite";"01.51-2"
"01.52-1";"Criação de outros animais de grande porte";"01.5"
"0152-1/01";"Criação de bufalinos";"01.52-1"
"0152-1/02";"Criação de eqüinos";"01.52-1"
"0152-1/03";"Criação de asininos e muares";"01.52-1"
"01.53-9";"Criação de caprinos e ovinos";"01.5"
"0153-9/01";"Criação de caprinos";"01.53-9"
"0153-9/02";"Criação de ovinos, inclusive para produção de lã";"01.53-9"
"01.54-7";"Criação de suínos";"01.5"
"0154-7/00";"Criação de suínos";"01.54-7"
"01.55-5";"Criação de aves";"01.5"
